1,2,3,4,5,6,7,8,binding_matrix_stable_id,stable_id,transcription_factor_complex,epigenomes_with_experimental_evidence
21,.,TF_binding_site,5011006,5011020,3.637831986,-,.,ENSPFM0404,ENSM00648832284,MYBL1,
21,.,TF_binding_site,46699953,46699965,-25.72190963,-,.,ENSPFM0014,ENSM00205452875,ATF4,A549
21,.,TF_binding_site,5011007,5011021,-19.82069547,+,.,ENSPFM0494,ENSM00589827334,SOX10,
21,.,TF_binding_site,5011050,5011065,-11.64166834,-,.,ENSPFM0491,ENSM00535591665,2CSRY,
21,.,TF_binding_site,5011078,5011092,5.025218112,-,.,ENSPFM0581,ENSM00549135362,TCF3,
21,.,TF_binding_site,5011080,5011090,4.631975734,-,.,ENSPFM0005,ENSM00624169763,ALX4,
21,.,TF_binding_site,5011098,5011111,5.176711319,+,.,ENSPFM0263,ENSM00542598414,PITX1,
21,.,TF_binding_site,5011100,5011114,0.56608216,+,.,ENSPFM0220,ENSM00536389457,GCM1,
21,.,TF_binding_site,5011007,5011021,-19.82069547,+,.,ENSPFM0494,ENSM00589827334,2CSRY,
21,.,TF_binding_site,46699954,46699968,1.71712581,+,.,ENSPFM0327,ENSM00207160234,RFX5,2CH1-hESC_3
21,.,TF_binding_site,5011047,5011059,3.080802783,+,.,ENSPFM0456,ENSM00549558366,2CPOU2F1,
21,.,TF_binding_site,5011066,5011075,5.613912457,-,.,ENSPFM0489,ENSM00564616222,SMAD3,
21,.,TF_binding_site,5011067,5011079,1.895871633,-,.,ENSPFM0432,ENSM00551445239,PAX3,
